"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,    "rms[LM_1]"   ,    "rms[LM_2]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,          80,      -8.722002517,       -7.41631564,       -7.76067541,      -6.602490387,      -5.184889332,      -1.497427941,       1.188063755,               0.5,      0.1153084915,      0.4753345474,                 0,                 0,                 0,       0.240562223,     0.08186994576,      0.4822201697,                 0,       4.122285714
          0,           0,          81,       -8.77674299,      -7.470899728,      -7.815925043,      -6.657005724,      -5.239233791,      -1.497604001,       1.185191278,               0.5,      0.1153084914,      0.4753345319,                 0,                 0,                 0,      0.2405622147,     0.08186994672,      0.4822201543,                 0,       4.122285584
          0,           0,          82,      -8.831733846,      -7.525737158,      -7.871460021,      -6.711783269,      -5.293817809,      -1.497767731,       1.182369578,               0.5,      0.1153084913,      0.4753345182,                 0,                 0,                 0,      0.2405622073,     0.08186994756,      0.4822201407,                 0,        4.12228547
          0,           0,          83,      -8.887004522,      -7.580857469,      -7.927314256,      -6.766853283,      -5.348668992,       -1.49791988,       1.179596551,               0.5,      0.1153084912,      0.4753345062,                 0,                 0,                 0,      0.2405622008,     0.08186994829,      0.4822201286,                 0,       4.122285369
          0,           0,          84,      -8.942588149,      -7.636293807,      -7.983525956,      -6.822249659,      -5.403818205,      -1.498061147,       1.176870239,               0.5,      0.1153084911,      0.4753344956,                 0,                 0,                 0,       0.240562195,     0.08186994894,       0.482220118,                 0,       4.122285281
          0,           0,          85,      -8.998521942,      -7.692083484,      -8.040138302,       -6.87801044,      -5.459300024,      -1.498192189,       1.174188819,               0.5,       0.115308491,      0.4753344862,                 0,                 0,                 0,        0.24056219,      0.0818699495,      0.4822201087,                 0,       4.122285203
          0,           0,          86,      -9.054848472,      -7.748268641,      -8.097200223,      -6.934178408,      -5.515153256,      -1.498313621,       1.171550588,               0.5,      0.1153084909,       0.475334478,                 0,                 0,                 0,      0.2405621855,        0.08186995,      0.4822201005,                 0,       4.122285134
          0,           0,          87,      -9.111615212,      -7.804896921,      -8.154767334,      -6.990801775,      -5.571421544,      -1.498426017,       1.168953954,               0.5,      0.1153084909,      0.4753344707,                 0,                 0,                 0,      0.2405621816,     0.08186995043,      0.4822200933,                 0,       4.122285074
          0,           0,          88,      -9.168876889,      -7.862022382,       -8.21290308,      -7.047934981,      -5.628154071,      -1.498529918,       1.166397429,               0.5,      0.1153084908,      0.4753344644,                 0,                 0,                 0,      0.2405621781,     0.08186995081,      0.4822200869,                 0,       4.122285021
          0,           0,          89,      -9.226696229,      -7.919706607,      -8.271680032,      -7.105639622,      -5.685406368,      -1.498625827,       1.163879618,               0.5,      0.1153084907,      0.4753344588,                 0,                 0,                 0,      0.2405621751,     0.08186995113,      0.4822200813,                 0,       4.122284975
          0,           0,          90,      -9.285144313,      -7.978019856,      -8.331181551,      -7.163985518,      -5.743241247,      -1.498714218,       1.161399211,               0.5,      0.1153084907,      0.4753344539,                 0,                 0,                 0,      0.2405621724,     0.08186995142,      0.4822200764,                 0,       4.122284935
          0,           0,          91,      -9.344304085,      -8.037042589,      -8.391503715,      -7.223051936,      -5.801729893,      -1.498795533,       1.158954979,               0.5,      0.1153084906,      0.4753344496,                 0,                 0,                 0,      0.2405621701,     0.08186995166,      0.4822200722,                 0,       4.122284899
          0,           0,          92,      -9.404270575,      -8.096867293,      -8.452757753,      -7.282928977,       -5.86095307,      -1.498870189,       1.156545764,               0.5,      0.1153084906,      0.4753344459,                 0,                 0,                 0,       0.240562168,     0.08186995188,      0.4822200684,                 0,       4.122284868
          0,           0,          93,      -9.465155013,      -8.157600598,      -8.515072871,       -7.34371911,      -5.921002513,      -1.498938574,       1.154170476,               0.5,      0.1153084905,      0.4753344426,                 0,                 0,                 0,      0.2405621662,     0.08186995206,      0.4822200652,                 0,       4.122284842
          0,           0,          94,      -9.527086934,       -8.21936581,       -8.57859976,      -7.405538804,      -5.981982425,      -1.499001053,       1.151828086,               0.5,      0.1153084905,      0.4753344397,                 0,                 0,                 0,      0.2405621647,     0.08186995222,      0.4822200623,                 0,       4.122284818
          0,           0,          95,      -9.590218914,      -8.282305969,      -8.643514834,      -7.468520125,      -6.044011032,       -1.49905797,       1.149517623,               0.5,      0.1153084904,      0.4753344372,                 0,                 0,                 0,      0.2405621633,     0.08186995236,      0.4822200598,                 0,       4.122284798
          0,           0,          96,      -9.654731564,      -8.346587388,      -8.710025167,      -7.532812041,      -6.107222035,      -1.499109645,       1.147238167,               0.5,      0.1153084904,      0.4753344351,                 0,                 0,                 0,      0.2405621621,     0.08186995247,      0.4822200577,                 0,       4.122284781
          0,           0,          97,      -9.720837491,      -8.412403682,      -8.778374094,      -7.598580891,      -6.171765639,      -1.499156379,       1.144988848,               0.5,      0.1153084904,      0.4753344332,                 0,                 0,                 0,      0.2405621611,     0.08186995257,      0.4822200558,                 0,       4.122284766
