"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
93, 7.550831900000000e-02, -3.317608770000000e-02, 1.108441224161879e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.352602572929794e+00, 1.192929079154994e+03
94, 8.634798370000001e-02, -3.507469240000000e-02, 1.329808258672789e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.350280915434131e+00, 1.249735457745204e+03
95, 9.784171740000000e-02, -3.688064990000000e-02, 1.494315912270223e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.336197206861331e+00, 1.273520432694635e+03
96, 1.099713459000000e-01, -3.858952850000000e-02, 1.609336844143686e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.316753772266418e+00, 1.280019452261269e+03
97, 1.227176899000000e-01, -4.019723160000000e-02, 1.681688091988211e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.293919296853820e+00, 1.278851666418995e+03
98, 1.360605948000000e-01, -4.170001150000000e-02, 1.717603770227306e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.268225549902827e+00, 1.274606334946620e+03
99, 1.499789627000000e-01, -4.309448190000000e-02, 1.722726469674303e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.239832320447663e+00, 1.269106751483811e+03
100, 1.644507858000000e-01, -4.437762880000000e-02, 1.702113932920521e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.208817646533832e+00, 1.262978937327912e+03
101, 1.794531812000000e-01, -4.554682090000000e-02, 1.660257761560309e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.175247710858401e+00, 1.256418159248508e+03
102, 1.949624270000000e-01, -4.659981800000000e-02, 1.601111204255140e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.139191844890652e+00, 1.249486883387920e+03
103, 2.109539999000000e-01, -4.753477760000000e-02, 1.528123436103488e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.100726328608427e+00, 1.242212269371016e+03
104, 2.274026139000000e-01, -4.835026130000000e-02, 1.444278060372177e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.059936050092290e+00, 1.234613931204055e+03
105, 2.442822604000000e-01, -4.904523890000000e-02, 1.352133929935404e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 2.016915523070183e+00, 1.226711054663808e+03
106, 2.615662493000000e-01, -4.961909100000000e-02, 1.253866754797428e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.971770034905401e+00, 1.218524196776326e+03
107, 2.792272509000000e-01, -5.007161070000000e-02, 1.151310251232205e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.924616742168415e+00, 1.210075846196870e+03
108, 2.972373396000000e-01, -5.040300340000000e-02, 1.045995883375413e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.875585583481185e+00, 1.201390694692644e+03
109, 3.155680377000000e-01, -5.061388520000000e-02, 9.391905106029280e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.824820219663275e+00, 1.192495839080880e+03
110, 3.341903607000000e-01, -5.070528010000000e-02, 8.319314563967228e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.772478788746646e+00, 1.183420933938909e+03
111, 3.530748628000000e-01, -5.067861540000000e-02, 7.250587051377316e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.718734470938893e+00, 1.174198297599137e+03
112, 3.721916838000000e-01, -5.053571590000000e-02, 6.192440828036875e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.309853785441721e-02, 1.663775889001979e+00, 1.164862971419405e+03
