"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega"
94, 4.605517472000000e-01, 9.842322080000000e-02, -4.366592056759374e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998671856834e+05
95, 4.518102279000000e-01, 9.953893140000000e-02, -4.202254647033564e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000516127325e+05
96, 4.430835521000000e-01, 1.005806691000000e-01, -4.031178355149089e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999415856022e+05
97, 4.343744079000000e-01, 1.015459026000000e-01, -3.853420544389774e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001579305551e+05
98, 4.256854778000000e-01, 1.024322830000000e-01, -3.669075179082047e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001915234140e+05
99, 4.170194383000000e-01, 1.032376536000000e-01, -3.478352796719733e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999998688716769e+05
100, 4.083789586000000e-01, 1.039600591000000e-01, -3.281617948690735e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000091542711e+05
101, 3.997667003000000e-01, 1.045977531000000e-01, -3.079228587948382e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001328884507e+05
102, 3.911853162000000e-01, 1.051492054000000e-01, -2.871296505398192e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001207361119e+05
103, 3.826374494000000e-01, 1.056131082000000e-01, -2.658102300981199e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001273929067e+05
104, 3.741257329000000e-01, 1.059883809000000e-01, -2.440055720489796e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999681128196e+05
105, 3.656527885000000e-01, 1.062741742000000e-01, -2.217381346752373e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000419555840e+05
106, 3.572212261000000e-01, 1.064698728000000e-01, -1.990604133694905e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999917198709e+05
107, 3.488336428000000e-01, 1.065750971000000e-01, -1.760084001889022e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999382602428e+05
108, 3.404926221000000e-01, 1.065897041000000e-01, -1.526304066170744e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000000827751059e+05
109, 3.322007333000000e-01, 1.065137863000000e-01, -1.289876159761870e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 1.999999406778326e+05
110, 3.239605305000000e-01, 1.063476707000000e-01, -1.051818666283276e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.000000000000000e-10, 2.000001423341100e+05
