"PointID","x","y","Pressure","Velocity_x","Velocity_y","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
43, 8.642439370000000e-01, 1.794127810000000e-02, -1.758948755745562e+00, 1.332087004188572e-260, 9.314859245887036e-262, 1.000000000000000e-10, 1.000000000000000e-04, 8.066470042788246e-01, 9.674459841385527e+02
44, 8.581764849000000e-01, 1.893817250000000e-02, -1.735827875773521e+00, 3.503818624492854e-261, 2.450108529521261e-262, 1.000000000000000e-10, 1.000000000000000e-04, 8.066606879500355e-01, 9.668522916326395e+02
45, 8.519987063000000e-01, 1.997436560000000e-02, -1.681332131104090e+00, -5.531823971559216e-263, -3.868227939021568e-264, 1.000000000000000e-10, 1.000000000000000e-04, 8.787324895224108e-01, 1.003430114271880e+03
46, 8.457125043000000e-01, 2.105027700000000e-02, -1.672524140802903e+00, 8.142749610104209e-263, 5.693964902752315e-264, 1.000000000000000e-10, 1.000000000000000e-04, 8.163416823036427e-01, 9.801443877407454e+02
47, 8.393198149000000e-01, 2.216624650000000e-02, -1.647996870647953e+00, 1.850603254754759e-263, 1.294067788651791e-264, 1.000000000000000e-10, 1.000000000000000e-04, 8.163647003759508e-01, 9.794816495390751e+02
48, 8.328226075000000e-01, 2.332252780000000e-02, -1.593435657575659e+00, -2.415947998994896e-265, -1.689395323673173e-266, 1.000000000000000e-10, 1.000000000000000e-04, 8.846866851181858e-01, 1.011617135995722e+03
49, 8.262228831000000e-01, 2.451928250000000e-02, -1.581044421559123e+00, 2.842855817666753e-265, 1.987918335262748e-266, 1.000000000000000e-10, 1.000000000000000e-04, 8.264471355972416e-01, 9.928459970674577e+02
50, 8.195226747000000e-01, 2.575657370000000e-02, -1.555258854093413e+00, 5.512377489553259e-266, 3.854629634845983e-267, 1.000000000000000e-10, 1.000000000000000e-04, 8.264786816111072e-01, 9.921421347044750e+02
51, 8.127240462000000e-01, 2.703435970000000e-02, -1.500872345117267e+00, -5.874680528345579e-268, -4.107976585915686e-269, 1.000000000000000e-10, 1.000000000000000e-04, 8.909772855352353e-01, 1.020104294679658e+03
52, 8.058290915000000e-01, 2.835248870000000e-02, -1.485074143412717e+00, 5.389269501095095e-268, 3.768544147867556e-269, 1.000000000000000e-10, 1.000000000000000e-04, 8.369234353798113e-01, 1.005459664781196e+03
